ID;Guideword;Hazard;detailed_scenario;Hazardous event;severity;Severity rationale
119;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Scenario: A car from the opposite direction crosses into the ego vehicle's lane""";"""Hazardous Event: CAEM fails to produce a lateral motion request, leading to a potential collision with the oncoming car""";S2; The CAEM failure to produce a lateral motion request could lead to a collision with the oncoming car. Given the potential for a front collision at a potentially high speed, severe and life-threatening injuries are probable. The severity is predicted for all involved parties - the driver and passengers of the ego vehicle and the oncoming car. The final severity value is determined by the person with the highest level of severity, which in this case is S2. The impact speed is estimated based on the scenario and the maximum allowed speed of the vehicles.
120;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Scenario: A parked truck suddenly pulls out into the ego vehicle's lane""";"""Hazardous Event: CAEM fails to produce a lateral motion request, leading to a potential collision with the truck""";S2; The severity of the hazardous event is predicted as S2 as the CAEM's failure to produce a lateral motion request could lead to a collision with the truck. Given the potential impact speed and the size of the truck, this could result in severe and life-threatening injuries to the driver or passengers of the ego vehicle, as well as to the driver of the truck. However, survival is probable as the accident does not involve a high-speed collision or a stationary object.
121;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Scenario: A motorbike traveling in the same direction suddenly slows down""";"""Hazardous Event: CAEM fails to produce a lateral motion request, leading to a potential collision with the motorbike""";S2; The hazardous event involves a failure of the CAEM to produce a lateral motion request, which could potentially lead to a collision with a motorbike. Given the vulnerability of motorbike riders and the potential for severe and life-threatening injuries even at low speeds, the severity is predicted as S2. The impact speed is not specified but considering the usual speed limits for motorbikes and the nature of the failure, a collision could occur at a significant speed. Therefore, the severity is high due to the potential for severe injuries to the motorbike rider.
122;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Encountering a cross intersection with traffic signals on a straight road with bus and bike lanes, a pedestrian crosses the road when the signal is red for them""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision, leading to potential collision with the pedestrian""";S2; The severity of the potential harm in this hazardous event is classified as S2 because the failure of CAEM to produce a lateral motion request could lead to a collision with a pedestrian. This could result in severe and life-threatening injuries, especially considering the vulnerability of the pedestrian. The impact speed, which is a critical factor in determining the severity, would depend on the scenario and the maximum allowed speed of the vehicle. However, given the potential for a direct impact with an unprotected road user, the severity is predicted to be high.
123;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Encountering a cross intersection with traffic signals on a straight road with bus and bike lanes, a bus suddenly stops in the bus lane""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision, leading to potential rear-end collision with the bus""";S2; The severity of the hazardous event is predicted as S2, as the scenario involves a potential rear-end collision with a bus due to the failure of CAEM to produce a lateral motion request. This could lead to severe and life-threatening injuries, although survival is probable. The impact speed, which is a crucial factor in determining the severity, is expected to be low to medium given the nature of the event. The severity is further justified as the persons involved could include the driver and passengers of the ego vehicle and potentially the passengers of the bus.
124;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Encountering a cross intersection with traffic signals on a straight road with bus and bike lanes, a cyclist swerves into the main road from the bike lane""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision, leading to potential collision with the cyclist""";S2; The CAEM's failure to produce a lateral motion request could result in a collision with a cyclist, which is considered a hazardous event involving an unprotected road user. Given the potential impact speed and the vulnerability of the cyclist, the severity of harm could be severe and life-threatening, although survival is probable, hence the severity value is S2.
125;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Encountering a cross intersection with traffic signals on a straight road with bus and bike lanes, a car coming from the opposite direction makes a sudden turn""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision, leading to potential head-on collision with the car""";S3; The severity of the hazardous event is predicted as S3, as the failure of CAEM to produce a lateral motion request could lead to a head-on collision with another car. This situation could result in life-threatening injuries or even fatal injuries due to the high impact speed and direct impact to the passenger compartment, which aligns with the examples provided for S3 severity class.
126;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Encountering a cross intersection with traffic signals on a straight road with bus and bike lanes, a heavy object falls from a truck in front""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision, leading to potential collision with the heavy object""";S2; The severity of the potential harm in this hazardous event is predicted as S2, considering that the CAEM's failure to produce a necessary lateral motion request could lead to a collision with a heavy object. This could result in severe and life-threatening injuries to the driver or passengers of the ego vehicle, as well as to any unprotected road users nearby. The impact speed, which is a crucial factor in predicting severity, could be high due to the inability of the CAEM to avoid the collision. Therefore, the severity is estimated to be S2, indicating a high level of harm.
127;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Driving on a straight multi-lane road that transitions into a bridge with solid line markings and pedestrian sidewalks, a pedestrian suddenly steps onto the road from the sidewalk""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the pedestrian""";S2;" The severity of the hazardous event where ""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the pedestrian"" is predicted as S2 which indicates severe and life-threatening injuries (survival probable). This is because the failure of CAEM to produce a lateral motion request implies that the vehicle would not be able to avoid a collision with an unprotected road user - a pedestrian. Given the potential high impact speed, the pedestrian could suffer severe injuries. However, survival is probable as it's assumed that immediate medical attention would be provided."
128;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Driving on a straight multi-lane road that transitions into a bridge with solid line markings and pedestrian sidewalks, a car from the opposite lane suddenly swerves into the ego vehicle's lane""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the swerving car""";S2;The CAEM's failure to produce a lateral motion request to avoid a collision with a swerving car could result in a side impact or rear/front collision with the other vehicle. Given the unpredictable nature of the swerving car, the impact speed could be low to medium. This could lead to severe and life-threatening injuries to the driver or passengers of both vehicles, as well as any unprotected road users nearby. However, with immediate medical attention, survival is probable, hence the severity is classified as S2.
129;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Driving on a straight multi-lane road that transitions into a bridge with solid line markings and pedestrian sidewalks, a truck ahead of the ego vehicle suddenly stops""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the stopped truck""";S2; The severity of the hazardous event is predicted as S2 because the CAEM's failure to produce a lateral motion request when necessary to avoid a collision with a stopped truck could lead to a front collision with the truck at a potentially low to medium speed, depending on the ego vehicle's speed. This could result in severe and life-threatening injuries to the driver or passengers of the ego vehicle, as well as potential harm to the driver of the truck, especially if the impact causes passenger compartment deformation. The severity is not predicted as S3 because the survival is still probable given the described scenario.
130;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Driving on a straight multi-lane road that transitions into a bridge with solid line markings and pedestrian sidewalks, a cyclist from the sidewalk suddenly enters the road""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the cyclist""";S2; The CAEM's failure to produce a lateral motion request to avoid a collision with a cyclist could lead to severe and life-threatening injuries, as the cyclist is an unprotected road user. The impact speed, depending on the scenario and max allowed speed of the vehicles, could be significant, further increasing the potential severity of the accident.
131;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Vehicle entering a roundabout with a pedestrian crossing the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve into a pedestrian crossing the road""";S3; The severity of the hazardous event is predicted as S3 due to the vehicle swerving into a pedestrian. Considering the impact speed and the fact that the pedestrian is an unprotected road user, the potential harm is life-threatening with survival uncertain, hence the severity class S3.
132;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Vehicle entering a roundabout with a bicycle on the side""";"""CAEM produces a lateral motion request causing the vehicle to swerve into a bicycle on the side of the road""";S2; The severity of the accident is predicted as S2 because the vehicle swerving into a bicycle on the side of the road can cause severe and life-threatening injuries to the cyclist. The impact speed would be dependent on the vehicle's speed at the time of the accident, which is likely to be significant given the lateral motion request. This, coupled with the vulnerability of the cyclist as an unprotected road user, leads to a high severity prediction.
133;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Vehicle entering a roundabout with a truck approaching from the opposite direction""";"""CAEM produces a lateral motion request causing the vehicle to swerve into a truck approaching from the opposite direction""";S3; The severity of the hazardous event is predicted as S3 as the CAEM's lateral motion request causing the vehicle to swerve into an oncoming truck could lead to a front collision with passenger compartment deformation at medium to high speed, which is associated with life-threatening injuries (survival uncertain), or fatal injuries. This severity level is chosen considering the potential high impact speed and the involvement of a large vehicle (truck), which could significantly increase the harm to the driver or passengers of the swerving vehicle.
134;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Vehicle entering a roundabout with a car approaching from the same direction""";"""CAEM produces a lateral motion request causing the vehicle to swerve into a car approaching from the same direction""";S2; The hazardous event involves a CAEM-induced lateral motion causing the vehicle to swerve into a car approaching from the same direction. This scenario involves two vehicles, the ego vehicle and the oncoming vehicle, and potentially the drivers and passengers in both. Given the nature of the event, a side impact collision is likely, which can lead to severe and life-threatening injuries, especially if the impact speed was high due to the same direction of travel. Therefore, the severity is predicted as S2.
135;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Sharp downhill curve with low friction and a pedestrian crossing the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve unnecessarily, potentially causing a collision with the pedestrian""";S2; The hazardous event involves a CAEM-induced lateral motion request causing the vehicle to swerve unnecessarily, which could potentially lead to a collision with a pedestrian. Given the involvement of an unprotected road user (pedestrian) and the potential for collision, the severity is predicted as S2 - severe and life-threatening injuries (survival probable). This is based on the assumption that the impact speed might be low due to the unexpected swerve, but still significant enough to cause serious harm to the pedestrian.
136;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Sharp downhill curve with low friction and a truck approaching from the opposite direction""";"""CAEM produces a lateral motion request causing the vehicle to swerve unnecessarily, potentially causing a head-on collision with the truck""";S3; The hazardous event involves a potential head-on collision with a truck, which could lead to life-threatening injuries or even fatal injuries due to the high impact speed and force involved in such accidents. This is especially severe if the truck is moving at a high speed or if the collision occurs at a high speed. The severity is therefore classified as S3, as the potential harm to all persons involved in the accident, including the driver and passengers of the ego vehicle and the truck driver, could be extremely high.
137;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Sharp downhill curve with low friction and a bicycle riding in the same direction""";"""CAEM produces a lateral motion request causing the vehicle to swerve unnecessarily, potentially causing a collision with the bicycle""";S2; The hazardous event involves a potential collision with a bicycle due to an unnecessary swerve caused by CAEM. Given the nature of the event, the cyclist is an unprotected road user and is at a high risk of severe and life-threatening injuries, especially if the vehicle is moving at a high speed. The impact speed, in this case, can be high due to the unexpected swerve, increasing the severity of potential harm. Therefore, the severity is predicted as S2.
138;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Sharp downhill curve with low friction and a broken-down vehicle on the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve unnecessarily, potentially causing a collision with the broken-down vehicle""";S2;The hazardous event involves CAEM producing a lateral motion that could cause the vehicle to swerve and potentially collide with a broken-down vehicle. Given that the event involves a potential collision with another vehicle, the severity could be severe and life-threatening (S2), especially if the impact speed is high. However, survival is probable as the collision may not necessarily result in passenger compartment deformation.
139;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Sharp downhill curve with low friction and a large tree fallen on the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve unnecessarily, potentially causing a collision with the tree""";S2;" The severity of the hazardous event is predicted as S2, which indicates severe and life-threatening injuries. This is based on the scenario where the CAEM produces a lateral motion request causing the vehicle to swerve unnecessarily, potentially causing a collision with a tree. Given the nature of the event, it is similar to the example provided for S2 severity class - ""Side impact with a narrow stationary object, e.g. passenger car crashing into a tree (impact to passenger cell) with low speed"". The impact speed is assumed to be low as there is no indication of high speed in the scenario. However, the severity could be higher if there are unprotected road users such as pedestrians or cyclists nearby at the time of the accident."
140;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Sharp downhill curve with low friction and a motorcycle overtaking the ego vehicle""";"""CAEM produces a lateral motion request causing the vehicle to swerve unnecessarily, potentially causing a collision with the motorcycle""";S2; The hazardous event involves a potential collision with a motorcycle due to unnecessary swerving caused by CAEM's lateral motion request. This situation can result in severe and life-threatening injuries to the motorcyclist, especially if the impact speed is high. However, survival is probable given that the event description does not imply a high-speed impact or a direct hit to the rider. The severity is therefore predicted as S2.
141;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving uphill on a single-lane straight road with high friction, an unmarked pedestrian crossing, and a pedestrian crossing the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve unnecessarily and potentially collide with a pedestrian or object on the side of the road""";S2; The hazardous event involves a potential collision with a pedestrian or object on the side of the road due to an unnecessary swerve caused by CAEM's lateral motion request. Given the unpredictable nature of the swerve and the potential for the vehicle to collide at a low speed with a pedestrian or object, the severity is predicted as S2, indicating severe and life-threatening injuries (survival probable). The impact speed in this scenario is determined by the speed of the vehicle at the time of the swerve, which could be high depending on the max allowed speed of the vehicle. This could result in a higher level of harm to the pedestrian or other road users involved in the accident.
142;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving uphill on a single-lane straight road with high friction, an unmarked pedestrian crossing, and a heavy vehicle approaching from the opposite direction""";"""CAEM produces a lateral motion request causing the vehicle to swerve unnecessarily and potentially collide head-on with the approaching heavy vehicle""";S3; The severity of the hazardous event is predicted as S3 due to the potential head-on collision with an approaching heavy vehicle. This is based on the fact that head-on collisions, especially with heavy vehicles, are often associated with life-threatening injuries or fatalities. The unnecessary swerving of the vehicle, potentially at high speed, increases the severity of the potential harm.
143;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving uphill on a single-lane straight road with high friction, an unmarked pedestrian crossing, and a bicycle traveling in the same direction""";"""CAEM produces a lateral motion request causing the vehicle to swerve unnecessarily and potentially collide with the bicycle""";S2; The severity of the hazardous event is predicted as S2 due to the potential collision between the vehicle and the bicycle caused by the unnecessary swerve. Given the nature of the event and the involvement of an unprotected road user (the cyclist), the impact could result in severe and life-threatening injuries, especially if the vehicle is moving at a high speed.
144;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving uphill on a single-lane straight road with high friction, an unmarked pedestrian crossing, and a stationary broken-down vehicle on the side of the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve unnecessarily and potentially collide with the stationary vehicle""";S2; The hazardous event involves a lateral motion request by CAEM causing the vehicle to swerve unnecessarily and potentially collide with a stationary vehicle. Given that the event involves a potential collision with a stationary vehicle, it can be assumed that the impact speed could be low to moderate. According to the severity classes, a collision with a stationary object with low speed can lead to severe and life-threatening injuries, hence the severity is predicted as S2. The severity might be higher if pedestrians or cyclists are involved, but no such information is provided in the scenario.
145;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving uphill on a single-lane straight road with high friction, an unmarked pedestrian crossing, and a fallen tree blocking part of the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve unnecessarily and potentially collide with the fallen tree""";S2; The severity of the hazardous event is predicted as S2 as the CAEM's unnecessary swerve could potentially cause the vehicle to collide with a fallen tree, which aligns with the example of a passenger car crashing into a tree with low speed. This could result in severe and life-threatening injuries to the driver or any passengers, but survival is probable given the low speed of the potential impact. The impact speed is predicted to be low based on the scenario and the maximum allowed speed of the vehicle.
146;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Approaching a T-intersection with signalized pedestrian crosswalks on a multi-lane street and a pedestrian is crossing""";"""CAEM produces a lateral motion request causing the vehicle to swerve into oncoming traffic""";S3; The hazardous event involves a vehicle swerving into oncoming traffic due to a lateral motion request from CAEM, which could potentially lead to a front collision with another vehicle at medium to high speed. This could result in life-threatening injuries (survival uncertain) or fatal injuries, especially for the driver and passengers of both vehicles involved, thus classifying the severity as S3.
147;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Approaching a T-intersection with signalized pedestrian crosswalks on a multi-lane street and a car is coming from the opposite direction""";"""CAEM produces a lateral motion request causing the vehicle to swerve into a pedestrian on the sidewalk""";S3; The hazardous event involves a pedestrian, an unprotected road user, who is hit by the vehicle due to a lateral motion request by CAEM, causing the vehicle to swerve onto the sidewalk. Given the unpredictable nature of the event and the vulnerability of the pedestrian, the severity of potential harm could be life-threatening or even fatal. The impact speed, although not specified, is assumed to be significant given the sudden swerve of the vehicle.
148;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Approaching a T-intersection with signalized pedestrian crosswalks on a multi-lane street and a truck is coming from the right""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the truck""";S3; The hazardous event involves a CAEM induced lateral motion causing the vehicle to swerve into a truck. This could potentially result in a side impact with a large moving object (the truck), which could lead to passenger compartment deformation. Given the size and mass of the truck, the impact speed could be substantial, even if the ego vehicle was initially moving at a moderate speed. This scenario could result in life-threatening injuries (survival uncertain) or fatal injuries, thus severity is classified as S3.
149;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Approaching a T-intersection with signalized pedestrian crosswalks on a multi-lane street and there is a fallen tree on the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the tree""";S3; The hazardous event involves a CAEM-induced lateral motion request, causing the vehicle to swerve into a tree. This scenario is similar to the example provided for S3 severity class, where a side impact with a narrow stationary object, such as a tree, is involved. The impact speed could be high due to the sudden swerve, leading to the potential for life-threatening injuries or even fatal injuries, especially if the passenger compartment undergoes deformation.
150;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Approaching a T-intersection with signalized pedestrian crosswalks on a multi-lane street and there is a traffic cone on the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve into a car in the next lane""";S2; The hazardous event involves a lateral motion request by the CAEM causing the vehicle to swerve into a car in the next lane. This could potentially involve the driver and passengers of both vehicles. Given the sudden swerve, the impact speed could be significant, leading to severe and life-threatening injuries, especially if safety measures like seatbelts are not in place. However, survival is probable considering modern vehicle safety features and immediate medical attention.
151;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Intersection with stop signs, another vehicle approaching from the right""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the path of the other vehicle""";S2; The hazardous event involves a lateral motion request causing the vehicle to swerve into the path of another vehicle. Given the potential for a side impact collision at speed, the severity is predicted to be S2, indicating severe and life-threatening injuries. This is due to the fact that side impact collisions can cause significant harm to unprotected road users and vehicle occupants, especially if the impact speed is high.
152;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Intersection with stop signs, a truck approaching from the left""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the path of the truck""";S3; The severity of the hazardous event is predicted as S3 due to the high potential for life-threatening injuries or fatal injuries. The CAEM's lateral motion request causing the vehicle to swerve into the path of the truck could lead to a side impact with the truck, which is a large stationary object. This could cause a high level of harm to the driver or passengers of the vehicle, especially if the impact speed is high. The severity is therefore determined by the person with the highest level of severity, which in this case would likely be the driver or passengers of the vehicle.
153;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving in a multi-lane one-way street with adjacent parking lanes and dotted line markings, a bicycle is riding in the same direction in the bike lane""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the bicycle when there is no hazardous collision object""";S2; The severity of the hazardous event is predicted as S2 as it involves a bicycle accident with a vehicle, which is likely to cause severe and life-threatening injuries, given the unprotected nature of the cyclist and the potential impact speed of the vehicle caused by the lateral motion request.
154;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving in a multi-lane one-way street with adjacent parking lanes and dotted line markings, a motorbike is coming from the opposite direction""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the motorbike when there is no hazardous collision object""";S2; The severity of the hazardous event is predicted as S2 due to the fact that the CAEM's lateral motion request causing the vehicle to swerve into a motorbike could lead to severe and life-threatening injuries for the motorbike rider. The impact speed, depending on the scenario, could be high given the sudden swerve of the vehicle, thus increasing the severity of potential harm. The motorbike rider, being an unprotected road user, is at a higher risk of severe injuries.
155;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Transiting an underpass on a wet multi-lane curved road with low friction, a heavy object falls from a truck ahead""";"""CAEM produces a lateral motion request causing the ego vehicle to swerve into the next lane""";S2; The hazardous event involves a lateral motion request by CAEM causing the ego vehicle to swerve into the next lane. This could potentially lead to a side impact with a vehicle in the next lane or a stationary object, such as a tree or a roadside infrastructure, at a low speed. The severity is predicted as S2, considering the unprotected road users like pedestrians or cyclists could be involved, and the impact speed could be significant depending on the max allowed speed of the vehicles. The severity is thus severe and life-threatening injuries (survival probable).
156;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Transiting an underpass on a wet multi-lane curved road with low friction, a cyclist suddenly swerves into the road from the sidewalk""";"""CAEM produces a lateral motion request causing the ego vehicle to swerve into the next lane""";S2; The hazardous event involves a lateral motion request by CAEM causing the ego vehicle to swerve into the next lane. This sudden swerve could potentially lead to a collision with another vehicle or unprotected road user in the next lane, causing severe and life-threatening injuries. The impact speed would be determined by the speed of the ego vehicle at the time of the swerve and the speed of the vehicle or individual in the next lane. Given the unpredictability of the situation and the potential for high-speed impact, the severity is predicted to be S2.
157;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Scenario: Ego vehicle in tunnel with cyclist in bike lane"; Hazardous Event: CAEM produces unnecessary lateral motion causing collision with tunnel wall;S2; The hazardous event involves a collision with a tunnel wall due to unnecessary lateral motion produced by CAEM. This could lead to severe and life-threatening injuries, especially considering the confined space of a tunnel and the potential for high impact speed. The severity is predicted based on the fact that the collision could directly impact the passenger compartment, similar to the example of a passenger car crashing into a tree with low speed. The severity could be higher if the vehicle was moving at a high speed or if there were unprotected road users such as pedestrians or cyclists involved. However, in the absence of such information, the severity is predicted to be S2.
158;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Scenario: Ego vehicle in tunnel with pedestrian crossing at signalized intersection"; Hazardous Event: CAEM produces unnecessary lateral motion causing collision with pedestrian;S2; The hazardous event involves a collision with a pedestrian due to unnecessary lateral motion produced by CAEM. Given that pedestrians are unprotected road users, even a low-speed impact can result in severe and life-threatening injuries. The severity is predicted as S2, assuming survival is probable but the injuries could be severe, as per the defined severity classes.
159;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Scenario: Ego vehicle in tunnel with oncoming vehicle in one-way street"; Hazardous Event: CAEM produces unnecessary lateral motion causing head-on collision;S3; The hazardous event involves a head-on collision, which is likely to cause severe damage due to the high impact speed. This can lead to life-threatening injuries (survival uncertain), or even fatal injuries, especially for the unprotected road users and the driver or passengers of the ego vehicle. The severity is therefore classified as S3.
160;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Scenario: Ego vehicle in tunnel with debris in road"; Hazardous Event: CAEM produces unnecessary lateral motion causing collision with tunnel wall;S2; The hazardous event involves a collision with a tunnel wall due to unnecessary lateral motion produced by CAEM. This could result in severe and life-threatening injuries, especially if the impact speed was high. The severity is predicted as S2 because the collision with a stationary object like a tunnel wall could cause significant harm to the driver and any passengers in the vehicle. In addition, the confined space of a tunnel could exacerbate the severity of the injuries, as there is limited room for the vehicle to move or for occupants to escape.
161;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Scenario: Ego vehicle in tunnel with bus in one-way street"; Hazardous Event: CAEM produces unnecessary lateral motion causing collision with bus;S2; The hazardous event involves a collision with a bus, which suggests a high impact speed and a large vehicle involved. Considering the unnecessary lateral motion produced by CAEM, it is likely that unprotected road users such as pedestrians and cyclists, as well as passengers in the bus and the ego vehicle, are involved. The severity is therefore predicted as S2, indicating severe and life-threatening injuries, as the collision could result in significant harm due to the size of the bus and the potential for multiple individuals to be involved.
162;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Scenario: Ego vehicle in tunnel with truck exiting at signalized intersection"; Hazardous Event: CAEM produces unnecessary lateral motion causing collision with truck;S2; The hazardous event involves a collision with a truck which could result in severe and life-threatening injuries, especially if the impact speed is high. The unnecessary lateral motion could lead to a side impact which, depending on the speed and size of the truck, could cause significant harm to the driver or passengers of the ego vehicle.
163;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Scenario: Ego vehicle in tunnel with no other road users or objects"; Hazardous Event: CAEM produces unnecessary lateral motion causing collision with tunnel wall;S2; The hazardous event involves a collision with a tunnel wall due to unnecessary lateral motion by CAEM, which could lead to severe and life-threatening injuries especially if the impact speed is high. The severity is predicted as S2 because the collision with a tunnel wall can be compared to a side impact with a narrow stationary object, and the confined space of a tunnel may amplify the impact, potentially causing severe harm to the driver or passengers.
164;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Transitioning from a bridge to a sharp uphill curve with a solid line marking and a pedestrian is crossing the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve towards the pedestrian""";S3; The hazardous event involves a vehicle swerving towards a pedestrian, which is an unprotected road user. Given the sudden lateral motion request produced by CAEM, the impact speed could be high. This scenario may result in life-threatening injuries (survival uncertain) or fatal injuries to the pedestrian, hence the severity is predicted as S3.
165;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Transitioning from a bridge to a sharp uphill curve with a solid line marking and a heavy vehicle is coming from the opposite direction""";"""CAEM produces a lateral motion request causing the vehicle to swerve towards the heavy vehicle""";S2; The hazardous event involves a lateral motion request causing the vehicle to swerve towards a heavy vehicle. Given the potential for a side impact with a large stationary object (the heavy vehicle), there is a high probability of severe and life-threatening injuries. The severity is predicted based on the assumption that the impact speed is high due to the sudden swerve, and the involved parties could include the driver and passengers of the ego vehicle and potentially the driver of the heavy vehicle.
166;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Transitioning from a bridge to a sharp uphill curve with a solid line marking and a broken-down vehicle is on the lane""";"""CAEM produces a lateral motion request causing the vehicle to swerve towards the broken-down vehicle""";S2; The hazardous event involves a lateral motion request causing the vehicle to swerve towards a broken-down vehicle, which could result in a side impact with a stationary object (the broken-down vehicle). Given the potential for a high impact speed, this could lead to severe and life-threatening injuries for the driver or passenger(s) of the ego vehicle, or any unprotected road users nearby. However, survival is probable due to the nature of the impact and the likelihood of safety measures in the ego vehicle.
167;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Transitioning from a bridge to a sharp uphill curve with a solid line marking and a bicycle is on the side of the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve towards the bicycle""";S2; The hazardous event involves a vehicle swerving towards a bicycle, which could result in severe and life-threatening injuries to the cyclist, especially if the impact speed is high. The severity is predicted as S2 because, although the injuries could be severe, survival is probable given immediate medical attention.
168;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Transitioning from a bridge to a sharp uphill curve with a solid line marking and a large rock is on the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve towards the rock""";S2; The hazardous event involves a lateral motion request causing the vehicle to swerve towards a rock, which could result in a side impact with a stationary object. Given the potential for severe and life-threatening injuries based on the severity classes, the severity is predicted as S2. The impact speed, while not explicitly stated, is assumed to be low to medium based on the description of the event. This could result in severe injuries to the driver or passengers of the vehicle, particularly if safety measures such as seatbelts are not in use. The severity could be higher if unprotected road users such as pedestrians or cyclists are nearby and involved in the accident. However, without additional information about the presence of such individuals, the maximum predicted severity remains S2.
